tablename,indexname,indexdef
notifications,notifications_pkey,CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
notifications,notifications_user_id_idx,CREATE INDEX notifications_user_id_idx ON public.notifications USING btree (user_id)
notifications,notifications_user_unread_idx,"CREATE INDEX notifications_user_unread_idx ON public.notifications USING btree (user_id, read_at) WHERE (read_at IS NULL)"
portfolio_items,idx_portfolio_profile,CREATE INDEX idx_portfolio_profile ON public.portfolio_items USING btree (profile_id)
portfolio_items,portfolio_items_pkey,CREATE UNIQUE INDEX portfolio_items_pkey ON public.portfolio_items USING btree (id)
profile_experiences,idx_profile_experiences_profile_kind_sort,"CREATE INDEX idx_profile_experiences_profile_kind_sort ON public.profile_experiences USING btree (profile_id, kind, sort_order)"
profile_experiences,profile_experiences_pkey,CREATE UNIQUE INDEX profile_experiences_pkey ON public.profile_experiences USING btree (id)
profiles,idx_profiles_category_attributes_gin,CREATE INDEX idx_profiles_category_attributes_gin ON public.profiles USING gin (category_attributes jsonb_path_ops)
profiles,idx_profiles_city,CREATE INDEX idx_profiles_city ON public.profiles USING btree (city_id) WHERE (is_published = true)
profiles,idx_profiles_is_admin,CREATE INDEX idx_profiles_is_admin ON public.profiles USING btree (is_admin) WHERE (is_admin = true)
profiles,idx_profiles_premium,"CREATE INDEX idx_profiles_premium ON public.profiles USING btree (premium_tier, premium_until)"
profiles,idx_profiles_primary_category,CREATE INDEX idx_profiles_primary_category ON public.profiles USING btree (primary_category_id) WHERE (is_published = true)
profiles,idx_profiles_published,CREATE INDEX idx_profiles_published ON public.profiles USING btree (is_published) WHERE (is_published = true)
profiles,idx_profiles_slug,CREATE INDEX idx_profiles_slug ON public.profiles USING btree (slug) WHERE (slug IS NOT NULL)
profiles,idx_profiles_suspended,CREATE INDEX idx_profiles_suspended ON public.profiles USING btree (suspended_at) WHERE (suspended_at IS NOT NULL)
profiles,profiles_email_idx,CREATE INDEX profiles_email_idx ON public.profiles USING btree (email)
profiles,profiles_email_key,CREATE UNIQUE INDEX profiles_email_key ON public.profiles USING btree (email)
profiles,profiles_last_seen_at_idx,CREATE INDEX profiles_last_seen_at_idx ON public.profiles USING btree (last_seen_at DESC)
profiles,profiles_pkey,CREATE UNIQUE INDEX profiles_pkey ON public.profiles USING btree (id)
profiles,profiles_role_idx,CREATE INDEX profiles_role_idx ON public.profiles USING btree (role)
profiles,profiles_slug_key,CREATE UNIQUE INDEX profiles_slug_key ON public.profiles USING btree (slug)
push_subscriptions,push_subscriptions_endpoint_key,CREATE UNIQUE INDEX push_subscriptions_endpoint_key ON public.push_subscriptions USING btree (endpoint)
push_subscriptions,push_subscriptions_pkey,CREATE UNIQUE INDEX push_subscriptions_pkey ON public.push_subscriptions USING btree (id)
push_subscriptions,push_subscriptions_user_id_idx,CREATE INDEX push_subscriptions_user_id_idx ON public.push_subscriptions USING btree (user_id)
quote_request_recipients,quote_request_recipients_pkey,CREATE UNIQUE INDEX quote_request_recipients_pkey ON public.quote_request_recipients USING btree (id)
quote_request_recipients,quote_request_recipients_request_id_professional_id_key,"CREATE UNIQUE INDEX quote_request_recipients_request_id_professional_id_key ON public.quote_request_recipients USING btree (request_id, professional_id)"
quote_requests,quote_requests_pkey,CREATE UNIQUE INDEX quote_requests_pkey ON public.quote_requests USING btree (id)
quotes,quotes_conversation_id_idx,CREATE INDEX quotes_conversation_id_idx ON public.quotes USING btree (conversation_id)
quotes,quotes_expires_at_idx,CREATE INDEX quotes_expires_at_idx ON public.quotes USING btree (expires_at) WHERE (status = 'pending'::quote_status)
quotes,quotes_pkey,CREATE UNIQUE INDEX quotes_pkey ON public.quotes USING btree (id)
quotes,quotes_sender_id_idx,CREATE INDEX quotes_sender_id_idx ON public.quotes USING btree (sender_id)
quotes,quotes_status_idx,CREATE INDEX quotes_status_idx ON public.quotes USING btree (status) WHERE (status = 'pending'::quote_status)
reports,reports_pkey,CREATE UNIQUE INDEX reports_pkey ON public.reports USING btree (id)
reports,reports_reporter_target_uniq,"CREATE UNIQUE INDEX reports_reporter_target_uniq ON public.reports USING btree (reporter_id, target_type, target_id)"
reports,reports_status_created_idx,"CREATE INDEX reports_status_created_idx ON public.reports USING btree (status, created_at DESC)"
review_replies,idx_review_replies_review,CREATE INDEX idx_review_replies_review ON public.review_replies USING btree (review_id)
review_replies,review_replies_pkey,CREATE UNIQUE INDEX review_replies_pkey ON public.review_replies USING btree (id)
review_replies,review_replies_review_id_key,CREATE UNIQUE INDEX review_replies_review_id_key ON public.review_replies USING btree (review_id)
reviews,idx_reviews_customer,CREATE INDEX idx_reviews_customer ON public.reviews USING btree (customer_id)
reviews,idx_reviews_professional,"CREATE INDEX idx_reviews_professional ON public.reviews USING btree (professional_id, created_at DESC)"
reviews,reviews_conversation_id_customer_id_key,"CREATE UNIQUE INDEX reviews_conversation_id_customer_id_key ON public.reviews USING btree (conversation_id, customer_id)"
reviews,reviews_pkey,CREATE UNIQUE INDEX reviews_pkey ON public.reviews USING btree (id)
service_addons,idx_service_addons_profile,CREATE INDEX idx_service_addons_profile ON public.service_addons USING btree (profile_id)
service_addons,idx_service_addons_service,CREATE INDEX idx_service_addons_service ON public.service_addons USING btree (service_id)
service_addons,service_addons_pkey,CREATE UNIQUE INDEX service_addons_pkey ON public.service_addons USING btree (id)
service_categories,service_categories_pkey,CREATE UNIQUE INDEX service_categories_pkey ON public.service_categories USING btree (id)
service_categories,service_categories_slug_key,CREATE UNIQUE INDEX service_categories_slug_key ON public.service_categories USING btree (slug)
service_packages,service_packages_pkey,CREATE UNIQUE INDEX service_packages_pkey ON public.service_packages USING btree (id)
services,idx_services_category,CREATE INDEX idx_services_category ON public.services USING btree (category_id) WHERE (is_active = true)
services,idx_services_profile,CREATE INDEX idx_services_profile ON public.services USING btree (profile_id)
services,services_pkey,CREATE UNIQUE INDEX services_pkey ON public.services USING btree (id)
testimonials,idx_testimonials_published_sort,CREATE INDEX idx_testimonials_published_sort ON public.testimonials USING btree (sort_order) WHERE (is_published = true)
testimonials,testimonials_pkey,CREATE UNIQUE INDEX testimonials_pkey ON public.testimonials USING btree (id)
turkish_cities,turkish_cities_name_key,CREATE UNIQUE INDEX turkish_cities_name_key ON public.turkish_cities USING btree (name)
turkish_cities,turkish_cities_pkey,CREATE UNIQUE INDEX turkish_cities_pkey ON public.turkish_cities USING btree (id)
turkish_cities,turkish_cities_plate_no_key,CREATE UNIQUE INDEX turkish_cities_plate_no_key ON public.turkish_cities USING btree (plate_no)
waitlist,waitlist_created_at_idx,CREATE INDEX waitlist_created_at_idx ON public.waitlist USING btree (created_at DESC)
waitlist,waitlist_email_idx,CREATE INDEX waitlist_email_idx ON public.waitlist USING btree (email)
waitlist,waitlist_email_key,CREATE UNIQUE INDEX waitlist_email_key ON public.waitlist USING btree (email)
waitlist,waitlist_pkey,CREATE UNIQUE INDEX waitlist_pkey ON public.waitlist USING btree (id)
