tablo,conname,contype,tanim
listings,listings_title_check,c,CHECK (((char_length(title) >= 3) AND (char_length(title) <= 200)))
listings,listings_work_conditions_len,c,CHECK (((work_conditions IS NULL) OR (char_length(work_conditions) <= 2000)))
listings,valid_budget_range,c,CHECK (((budget_min IS NULL) OR (budget_max IS NULL) OR (budget_min <= budget_max)))
listings,valid_expires_at,c,CHECK (((expires_at IS NULL) OR (expires_at > created_at)))
message_violations,message_violations_conversation_id_fkey,f,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE
message_violations,message_violations_pkey,p,PRIMARY KEY (id)
message_violations,message_violations_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
message_violations,message_violations_violation_type_check,c,"CHECK ((violation_type = ANY (ARRAY['phone'::text, 'iban'::text, 'email'::text])))"
messages,messages_body_check,c,CHECK (((length(body) > 0) AND (length(body) <= 2000)))
messages,messages_conversation_id_fkey,f,FOREIGN KEY (conversation_id) REFERENCES conversations(id) ON DELETE CASCADE
messages,messages_pkey,p,PRIMARY KEY (id)
messages,messages_quote_consistency,c,CHECK ((((message_type = 'quote'::message_type) AND (quote_id IS NOT NULL)) OR (message_type <> 'quote'::message_type)))
messages,messages_quote_id_fkey,f,FOREIGN KEY (quote_id) REFERENCES quotes(id) ON DELETE CASCADE
messages,messages_sender_id_fkey,f,FOREIGN KEY (sender_id) REFERENCES profiles(id) ON DELETE CASCADE
notifications,notifications_pkey,p,PRIMARY KEY (id)
notifications,notifications_type_check,c,"CHECK ((type = ANY (ARRAY['message'::text, 'review'::text, 'review_reply'::text, 'listing_invitation'::text, 'booking_request'::text])))"
notifications,notifications_user_id_fkey,f,FOREIGN KEY (user_id) REFERENCES auth.users(id) ON DELETE CASCADE
portfolio_items,portfolio_items_media_type_check,c,"CHECK ((media_type = ANY (ARRAY['image'::text, 'video'::text])))"
portfolio_items,portfolio_items_pkey,p,PRIMARY KEY (id)
portfolio_items,portfolio_items_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
profile_experiences,profile_experiences_end_month_check,c,CHECK (((end_month >= 1) AND (end_month <= 12)))
profile_experiences,profile_experiences_kind_check,c,"CHECK ((kind = ANY (ARRAY['work'::text, 'education'::text, 'award'::text])))"
profile_experiences,profile_experiences_pkey,p,PRIMARY KEY (id)
profile_experiences,profile_experiences_profile_id_fkey,f,FOREIGN KEY (profile_id) REFERENCES profiles(id) ON DELETE CASCADE
profile_experiences,profile_experiences_start_month_check,c,CHECK (((start_month >= 1) AND (start_month <= 12)))
profiles,default_allowed_roles_valid,c,"CHECK (((default_allowed_applicant_roles <@ ARRAY['professional'::text, 'agency'::text]) AND (array_length(default_allowed_applicant_roles, 1) >= 1)))"
